"ISARIC_4C_Mortality","ISARIC_4C_Deterioration","ISARIC_4C_Mortality_Prob"
12,41.9212856177664,32.9079307201458
10,63.801121484537,22.8999464954521
16,73.8799724752194,59.1031390134529
18,85.304183933393,75.8099352051836
7,32.7628171466147,11.6953762466002
7,26.6283143450178,11.6953762466002
14,52.3617775550502,44.5749440715884
12,84.1067185365545,32.9079307201458
11,21.5975856901368,26.9156159068865
12,51.6962818453901,32.9079307201458
12,61.19761089822,32.9079307201458
6,39.6716050732939,7.78378378378378
10,39.8320744028899,22.8999464954521
13,55.7144143412028,40.1318888365521
12,67.9172067842329,32.9079307201458
8,52.8517923722768,14.4486692015209
11,53.2390696357819,26.9156159068865
11,48.7360890479102,26.9156159068865
12,49.3501274948291,32.9079307201458
12,62.445407664625,32.9079307201458
